TOP NOTCH VOLCANO	PASSION FRUIT PUREE		PUREE (PASSION FRUIT)	134
TOP NOTCH VOLCANO	DEMERARA SYRUP		SYRUP (DEMERARA)	134
TOP NOTCH VOLCANO	LUXARDO MARASCHINO LIQUEUR		LIQUEUR (MARASCHINO)	134
TOP NOTCH VOLCANO	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	134
TOP NOTCH VOLCANO	BLENDED AGED RUM	3	RUM (BLENDED AGED)	134
				
THE NAKED APE	LEMON JUICE		JUICE (LEMON)	134
THE NAKED APE	CINNAMON SYRUP		SYRUP (CINNAMON)	134
THE NAKED APE	GIFFARD BANANE DU BRÉSIL BANANA LIQUEUR		BANANA LIQUEUR	134
THE NAKED APE	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	134
THE NAKED APE	POT STILL LIGHTLY AGED RUM (OVERPROOF)	1	POT STILL LIGHTLY AGED RUM (OVERPROOF)	134
THE NAKED APE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	134
				
SWIZZLE FRANÇAIS	LIME JUICE		JUICE (LIME)	136
SWIZZLE FRANÇAIS	MARTINIQUE SUGARCANE SYRUP		SYRUP (MARTINIQUE SUGARCANE)	136
SWIZZLE FRANÇAIS	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	136
SWIZZLE FRANÇAIS	CANE AOC MARTINIQUE RHUM AGRICOLE VIEUX	8	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE VIEUX)	136
SWIZZLE FRANÇAIS	GROUND CINNAMON		SPICE (NUTMEG)	136
				
SPARKLING MAI TAI	LIME JUICE		JUICE (LIME)	136
SPARKLING MAI TAI	ORGEAT		SYRUP (ALMOND)	136
SPARKLING MAI TAI	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	136
SPARKLING MAI TAI	BLACK BLENDED OVERPROOF RUM	6	RUM (BLACK BLENDED OVERPROOF)	136
SPARKLING MAI TAI	BLENDED AGED RUM	3	RUM (BLENDED AGED)	136
SPARKLING MAI TAI	SPARKLING WINE		WINE (SPARKLING)	136
				
THE ERNESTO	TING GRAPEFRUIT SODA		SODA (GRAPEFRUIT)	137
THE ERNESTO	LIME JUICE		JUICE (LIME)	137
THE ERNESTO	HONEY SYRUP		SYRUP (HONEY)	137
THE ERNESTO	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	137
THE ERNESTO	TEQUILA BLANCO		TEQUILA (BLANCO)	137
THE ERNESTO	HERBSTURA		BITTERS (HERBSTURA)	137
				
THE SEXPERT	LEMON JUICE		JUICE (LEMON)	137
THE SEXPERT	PASSION FRUIT SYRUP		SYRUP (PASSION FRUIT)	137
THE SEXPERT	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	137
THE SEXPERT	PERUVIAN PISCO		BRANDY (PISCO)	137
THE SEXPERT	GIN		GIN	137
THE SEXPERT	BITTERMENS BURLESQUE BITTERS		BITTERS (BITTERMENS BURLESQUE)	137
				
SMUGGLER'S RUM BARREL	LIME JUICE		JUICE (LIME)	139
SMUGGLER'S RUM BARREL	PINEAPPLE JUICE		JUICE (PINEAPPLE)	139
SMUGGLER'S RUM BARREL	SECRET		SECRET	139
SMUGGLER'S RUM BARREL	SECRET		SECRET	139
SMUGGLER'S RUM BARREL	BLACK BLENDED OVERPROOF RUM	6	RUM (BLACK BLENDED OVERPROOF)	139
SMUGGLER'S RUM BARREL	ANGOSTURA BITTERS		BITTERS (AROMATIC)	139
				
HANA REVIVER	LEMON JUICE		JUICE (LEMON)	139
HANA REVIVER	PASSION FRUIT SYRUP		SYRUP (PASSION FRUIT)	139
HANA REVIVER	LI HING MUI POWDER		LI HING MUI POWDER	139
HANA REVIVER	SELTZER		SODA	139
HANA REVIVER	MARASCHINO LIQUEUR		LIQUEUR (MARASCHINO)	139
HANA REVIVER	POT STILL UNAGED RUM		RUM (POT STILL UNAGED)	139
				
KAITEUR SWIZZLE	LIME JUICE		JUICE (LIME)	140
KAITEUR SWIZZLE	MAPLE SYRUP		SYRUP (MAPLE)	140
KAITEUR SWIZZLE	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	140
KAITEUR SWIZZLE	BLENDED AGED RUM (GUYANA)	3	RUM (BLENDED AGED)	140
KAITEUR SWIZZLE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	140
				
THE EXPEDITION	LIME JUICE		JUICE (LIME)	140
THE EXPEDITION	CINNAMON SYRUP		SYRUP (CINNAMON)	140
THE EXPEDITION	HONEY SYRUP		SYRUP (HONEY)	140
THE EXPEDITION	VANILLLA SYRUP		SYRUP (VANILLA)	140
THE EXPEDITION	SELTZER		SODA	140
THE EXPEDITION	BITTERMENS NEW ORLEANS COFFEE LIQUEUR		LIQUEUR (COFFEE)	140
THE EXPEDITION	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	140
THE EXPEDITION	BOURBON		WHISKEY (BOURBON)	140
				
THE UNDEAD GENTLEMAN	ABSINTHE BLANC		ABSINTHE (BLANC)	142
THE UNDEAD GENTLEMAN	LIME JUICE		JUICE (LIME)	142
THE UNDEAD GENTLEMAN	GRAPEFRUIT JUICE (WHITE OR PINK)		JUICE (GRAPEFRUIT) (WHITE OR PINK)	142
THE UNDEAD GENTLEMAN	CINNAMON SYRUP		SYRUP (CINNAMON)	142
THE UNDEAD GENTLEMAN	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	142
THE UNDEAD GENTLEMAN	BLACK BLENDED OVERPROOF RUM	6	RUM (BLACK BLENDED OVERPROOF)	142
THE UNDEAD GENTLEMAN	BLENDED AGED RUM	3	RUM (BLENDED AGED)	142
THE UNDEAD GENTLEMAN	ANGOSTURA BITTERS		BITTERS (AROMATIC)	142
				
THE DEAD RECKONING	SELTZER		SODA	142
THE DEAD RECKONING	LEMON JUICE		JUICE (LEMON)	142
THE DEAD RECKONING	PINEAPPLE JUICE		JUICE (PINEAPPLE)	142
THE DEAD RECKONING	MAPLE SYRUP		SYRUP (MAPLE)	142
THE DEAD RECKONING	VANILLA BRANDY		BRANDY (VANILLA)	142
THE DEAD RECKONING	TAWNY PORT		PORT (TAWNY)	142
THE DEAD RECKONING	BLENDED AGED RUM	3	RUM (BLENDED AGED)	142
THE DEAD RECKONING	ANGOSTURA BITTERS		BITTERS (AROMATIC)	142
				
FALINUM	LEMON JUICE		JUICE (LEMON)	144
FALINUM	COCONUT CREAM		CREAM (COCONUT)	144
FALINUM	SELTZER		SODA	144
FALINUM	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	144
FALINUM	COLUMN STILL AGED RUM	4	RUM (COLUMN STILL AGED)	144
FALINUM	ORANGE BITTERS		BITTERS (ORANGE)	144
				
HUMUHUMUNUKUNUKUAPUA'A	LEMON JUICE		JUICE (LEMON)	144
